category,question,answer
"حساب کاربری‌،ثبت‌نام،ورود",چرا در قسمت حساب کاربری ام بخش رویش را مشاهده نمیکنم؟,"دوست عزیز، سلام.

برای استفاده از «رویش»، لازمه نسخهٔ اپلیکیشن طاقچه‌تون بالاتر از نسخهٔ ۸۷۰ باشه. اگه نیست، لطفاً طاقچه رو به‌روز کنید. می‌تونید آخرین نسخه رو از سایت طاقچه دانلود و نصب کنید. بعد، توی بخش «حساب کاربری» می‌تونید «رویش» رو ببینید."
"حساب کاربری‌،ثبت‌نام،ورود",در صورت دو اکانتی بودن کاربر,"***
دوست عزیز، سلام.

با این حساب کاربری کتابی که فرمودید، خریداری نشده. اگه شماره‌موبایل یا آدرس ایمیل دیگه‌ای دارید، لطفاً اون رو بفرستید تا بررسی کنیم.

***
دوست عزیز، سلام.

با این حساب کاربری خریدی انجام نشده. شماره موبایل/آدرس ایمیل زیر متعلق به شماست؟

مرحله بعد:

لطفاً به قسمت «حساب کاربری» برید و در انتهای صفحه روی «خروج از حساب کاربری» بزنید و از ابتدا با شماره‌موبایل/آدرس ایمیل زیر وارد بشید تا به کتابتون دسترسی داشته‌باشید."
"حساب کاربری‌،ثبت‌نام،ورود",از کجا می توانیم به لیست خریدهام دسترسی داشته باشم,"دوست عزیز، سلام.

خیالتون جمع، مشکل امنیتی یا هک در طاقچه پیش نیومده. لطفاً شما کاربران عزیز هم برای استفاده از طاقچه روی دستگاه‌های مختلف مطمئن باشید که لاگین نمی‌مونید. همین‌طور از طریق امکان «مدیریت دستگاه‌ها» (در بخش «حساب کاربری») دستگاه‌هایی رو که بهش متصلید، بررسی کنید.
طاقچه با وسواس و حساسیت مراقب امنیت اطلاعات شماست."
"حساب کاربری‌،ثبت‌نام،ورود",از کجا می‌تونم به فهرست خریدهام دسترسی داشته باشم,"در سایت:

دوست عزیز، سلام.

روی فهرست کاربری بزنید و قسمت «تاریخچهٔ پرداخت‌ها» رو انتخاب کنید.
فهرست کاربری رو به دو صورت ممکنه ببینید: ۱. اگه گوشۀ سمت «راست» بالا سه خط افقی می‌بینید، روش بزنید تا فهرست کاربری باز بشه؛ ۲. اگه گوشۀ سمت «چپ» بالا، دایرۀ عکس پروفایل رو می‌بینید، روی دایره بزنید تا فهرست کاربری باز بشه. توی فهرست کاربری، «تاریخچۀ پرداخت‌ها» رو انتخاب کنید. فهرست تمام پرداخت‌هاتون نمایش داده می‌شه. توی این فهرست، می‌تونید خریدها و اطلاعات پرداختی دیگه‌تون رو ببینید.

در اپلیکیشن:

دوست عزیز، سلام.

به قسمت «حساب کاربری» برید. گزینۀ «تاریخچهٔ پرداخت‌ها» رو انتخاب کنید تا فهرست همهٔ پرداخت‌هاتون نشون داده بشه. توی این فهرست، می‌تونید خریدها و اطلاعات پرداختی دیگه‌تون رو ببینید."
"حساب کاربری‌،ثبت‌نام،ورود",از کجا جایزه‌های رویش رو پیدا کنم,"دوست عزیز، سلام.

به قسمت «حساب کاربری» طاقچه برید. گزینۀ «رویش» رو انتخاب کنید. در صفحۀ جدید، فهرست جایزه‌های رویش رو می‌بینید. می‌تونید با انتخاب هرکدوم از جایزه‌ها، در ازای تعدادی برگ، اون جایزه رو بگیرید."
"حساب کاربری‌،ثبت‌نام،ورود",چرا نمیتونم برای پروفایلم تصویر بذارم,"دوست عزیز، سلام.

برای هموارتر شدن مسیر توسعهٔ طاقچه، لازم بود آواتار رو جایگزین عکس پروفایل کنیم. این تصمیم، بهمون کمک می‌کنه که هم زیرساخت پایدارتری داشته باشیم و هم گرافیک یکپارچه‌تری.
این رو هم اضافه کنیم که ویژگی آواتار در طاقچه، در ابتدای راهه. در نسخه‌های بعدی قصد داریم آواتارهای جذاب‌تر و متنوع‌تری اضافه کنیم. لطفاً مثل همیشه با بازخورداتون به ما کمک کنید.
از صبوری و همراهی‌تون ممنونیم."
"حساب کاربری‌،ثبت‌نام،ورود",به من خطای بیش از سه دستگاه داده میشه چیکار کنم؟,"دوست عزیز، سلام.

دستگاه‌های متصل به حسابتون حذف شد. لطفاً دوباره اقدام کنید و اگه مشکل همچنان پابرجا بود، به ما اطلاع بدید تا پیگیری کنیم."
"حساب کاربری‌،ثبت‌نام،ورود",مدیریت دستگاه,"اندروید و آی‌اواس:

دوست عزیز، سلام.

برای حذف دستگاهتون این مراحل رو طی کنید: ۱) در نوار پایین اپلیکیشن، روی «حساب کاربری» بزنید. ۲) در صفحهٔ جدید، «مدیریت دستگاه» رو انتخاب کنید. ۳) توضیحات بالای صفحه رو بخونید. ۴) جلو مشخصات دستگاهی که می‌خواید حذفش کنید، دکمهٔ «حذف دستگاه» رو بزنید.

وب:

دوست عزیز، سلام.

برای حذف دستگاه خود از طریق وب‌سایت، باید این مراحل رو طی کنید: ۱) در بالای صفحۀ سایت طاقچه، فهرست حساب کاربری‌تون رو باز کنید. [این فهرست به یکی از این دو صورت در دسترس شماست: الف) بالا سمت چپ، کنار دکمۀ «نصب طاقچه»، به‌صورت یک دایره؛ ب) بالا سمت راست، به‌صورت سه خط افقی] ۲) توی فهرست حساب کاربری، روی «مدیریت دستگاه‌ها» بزنید. ۳) توضیحات بالای صفحه رو بخونید. ۴) جلو مشخصات دستگاهی که می‌خواید حذفش کنید، دکمهٔ «حذف دستگاه» رو بزنید."
"حساب کاربری‌،ثبت‌نام،ورود",درخواست حذف حساب کاربری‌ام را دارم,"دوست عزیز، سلام.

در‌حال‌حاضر امکان حذف اطلاعات کاربری وجود نداره. برای خروج از حساب کاربری‌تون، می‌تونید به قسمت «حساب کاربری» برید و گزینهٔ «خروج» رو انتخاب کنید."
"حساب کاربری‌،ثبت‌نام،ورود",وارد شدن با اکانت اشتباه,"دوست عزیز، سلام.

لطفاً به قسمت «حساب کاربری» برید و گزینهٔ «خروج» رو انتخاب کنید. بعد، با شماره‌موبایل / ایمیل خود وارد بشید تا به کتابخانه‌تون دسترسی داشته باشید."
"حساب کاربری‌،ثبت‌نام،ورود",اگر از حسابم خارج شم کتاباحذف میشه؟,"دوست عزیز، سلام.

هیچ نگران نباشید. کتابی از کتابخانهٔ شما حذف نمی‌شه و دسترسی‌تون به کتاب‌هاتون از بین نمی‌ره. البته هروقت از حساب کاربری خودتون خارج بشید، کتاب‌هاتون از حالت دانلودشده خارج می‌شن و وقتی دوباره به حساب کاربری‌تون وارد بشید، لازمه کتاب‌ها رو دوباره دانلود کنید."
"حساب کاربری‌،ثبت‌نام،ورود",در پاسخ به کاربرانی که به شماره یا ایمیل شون دسترسی ندارن و میخوان بهشون دسترسی بدیم,"دوست عزیز، سلام.

ما نمی‌تونیم اطلاعات حساب قبلی رو به شماره‌موبایل / ایمیل جدیدتون منتقل کنیم؛ چون موظف به حفظ امنیت حساب کاربرامون هستیم و موافقت با درخواست شما برامون مسئولیت قانونی داره. در نتیجه نیاز داریم راهی برای احراز هویت شما پیدا کنیم. یکی از این راه‌ها ارسال سند مالکیت یا مدرکیه که نشون بده شما مالک سیم‌کارت قبلی هستید. در این صورت ما می‌تونیم برای تغییر اطلاعات حسابتون پیگیری‌های لازم رو انجام بدیم."
"حساب کاربری‌،ثبت‌نام،ورود",نحوه دسترسی به تاریخچه پیام‌ها و اعلانات,"اعلانات اندروید:

در صفحهٔ اصلی طاقچه، در نوار پایین، به بخش «حساب کاربری» برید. در صفحهٔ جدید، بالا سمت راست، روی علامت زنگوله بزنید تا پیام‌ها و اعلانات رو ببینید.

اعلانات آی‌اواس:

در صفحهٔ اصلی طاقچه، در نوار پایین، به بخش «حساب کاربری» برید. در صفحهٔ جدید، روی گزینهٔ «پیام‌های من» بزنید تا پیام‌ها و اعلانات رو ببینید.

سوابق پیام سایت:

در صفحهٔ اصلی سایت طاقچه، به فهرست حساب کاربری‌تون برید. در فهرست بازشده، روی «ارتباط با پشتیبانی» بزنید تا پیام‌هاتون رو ببینید."
"حساب کاربری‌،ثبت‌نام،ورود",زمانی که دستگاه‌های مختلفی به حساب کاربر متصل هست,"دوست عزیز، سلام.

برای اینکه بتونیم دقیق‌تر موضوع رو بررسی کنیم، لطفاً بهمون بگید که توی کدوم‌یک از دستگاه‌های متصل به حسابتون، این مسئله پیش اومده؟"
"حساب کاربری‌،ثبت‌نام،ورود",دریافت نکردن پیامک ورود به طاقچه,"دوست عزیز، سلام.

احتمالاً شما یک بار عدد ۱۱ رو به سرشمارهٔ طاقچه ارسال کرده‌اید و این باعث شده که پیامک‌های ما رو دریافت نکنید. برای حل این مشکل، لطفاً عدد ۱۲ رو به سرشمارهٔ طاقچه (۱۰۰۰۱۰۰۰۳۰۰۳) ارسال کنید. بعد از ۲۴ ساعت، مشکل حل می‌شه و دوباره می‌تونید پیامک‌های ما رو دریافت کنید.
اگه همچنان مشکلتون ادامه داشت بهمون اطلاع بدید تا پیگیری کنیم."
"حساب کاربری‌،ثبت‌نام،ورود",نحوه ورود به برنامه در آی‌او‌اس,"دوست عزیز، سلام.
 
لطفاً یکبار برنامه طاقچه رو از بین برنامه‌های باز در قسمت «home» کامل ببندید. مجدد برنامه رو باز کنید. دکمهٔ «Subscribe» رو بزنید. اگه این دکمه رو نمی‌بینید، برنامهٔ طاقچه رو ببندید و دوباره باز کنید. در این مرحله آدرس ایمیل ازتون پرسیده می‌شه. عبارت salam رو وارد کنید. توی صفحه‌ٔ بعد به‌جای کد فعالسازی عدد 1234 رو بنویسید تا وارد برنامه بشید.
یادآوری: توجه داشته باشید که هنگام استفاده از برنامه به فیلترشکن متصل نباشید."
"حساب کاربری‌،ثبت‌نام،ورود",زمانی که نیازه کاربر از حسابش خارج بشه,"دوست عزیز، سلام.

توجه داشته باشید که با حذف و نصب مجدد برنامه یا خروج از حساب کاربری‌، کتاب‌هایی که خریداری کردید از حساب کاربری‌تون حذف نمیشن و فقط از حالت دانلود خارج میشن که لازمه بعد از ورود به برنامه کتاب‌ها رو از ابتدا دانلود کنید.

کاربران آی‌او‌اس:

دوست عزیز، سلام.

توجه داشته باشید که با خروج از حساب کاربری‌ یا حذف و نصب مجدد برنامه،‌ کتاب‌هایی که از بخش بی‌نهایت دریافت کردید حذف میشن و فقط آخرین کتابی که درحال مطالعه اون بودید قابل مشاهده هستش. البته جای نگرانی وجود نداره، ما می‌تونیم لیست کتاب‌هایی که در بخش بی‌نهایت داشتید رو براتون ارسال کنیم.


"
خرید و پرداخت آنلاین,چگونه می‌توانم از طاقچه کتاب بخرم؟,"دوست عزیز، سلام.

 برای خرید کتاب، اول یه حساب کاربری توی طاقچه بسازید. کتابی رو که می‌خواید، انتخاب کنید و دکمهٔ خرید رو بزنید. پرداخت مبلغ کتاب از راه درگاه امن بانکی (شاپرک) یا کیف پول کافه بازار انجام می‌شه. برای پرداخت ارزی می‌تونید از PayPal استفاده کنید. مراحل خرید رو با توجه به راهنمایی‌هایی که توی هر صفحه کردیم، طی کنید. بعد از تموم‌شدن مراحل، می‌تونید کتاب خریداری‌شده رو توی بخش «کتاب‌های من» ببینید."
خرید و پرداخت آنلاین,چطور با کیف پول طاقچه خرید کنم؟,"دوست عزیز، سلام.

اول کتاب یا اشتراکی رو که می‌خواید بخرید، انتخاب کنید. گزینه‌ٔ «خرید» رو بزنید تا به صفحهٔ خرید منتقل بشید. اگه کیف پول شما موجودی داشته باشه، می‌تونید «پرداخت از کیف پول طاقچه» رو انتخاب کنید. پرداخت به‌صورت خودکار انجام می‌شه و به کتاب یا اشتراکی که خریداری کردید دسترسی پیدا می‌کنید.
برای شارژ کیف پول توی اپلیکیشن، ابتدا به قسمت «حساب کاربری» برید. گزینه‌ٔ «افزایش اعتبار» رو انتخاب کنید. مبلغ موردنظرتون رو وارد کنید و دکمه‌ٔ «پرداخت» رو بزنید. بعد از تموم‌شدن مراحل پرداخت، کیف پول شما شارژ می‌شه. 
یادآوری: امکان خرید ارزی با کیف پول طاقچه در‌حال‌حاضر وجود نداره و برای خرید ارزی لازمه مستقیماً وارد درگاه PayPal بشید و مراحل خریدتون رو کامل کنید."
خرید و پرداخت آنلاین,آیا می‌توانم در خارج از ایران هم از طاقچه خرید کنم؟,"پاسخ کلی:
دوست عزیز، سلام.
بله. با ساخت حساب کاربری طاقچه و با استفاده از PayPal می‌تونید با کارت‌های اعتباری‌تون از طاقچه خرید کنید.
پاسخ جزئی‌تر:
دوست عزیز، سلام.
بله. امکان ایجاد حساب کاربری با آدرس ایمیل وجود داره. همچنین برای پرداخت امکان تغییر واحد قیمت به دلار و پرداخت از طریق PayPal وجود داره."
خرید و پرداخت آنلاین,با کافه بازار پرداخت کرده‌ام ولی کتاب در «کتاب‌های من» قرار نگرفته,"خرید ناموفق در کافه بازار:
دوست عزیز، سلام.

خرید شما از کافه‌بازار ناموفق بوده. لطفاً در کافه‌بازار روی شکلک آدمک بالای صفحه بزنید و به قسمت «کیف پول و پرداخت > تراکنش‌ها» برید و زمان و توکن خریدهایی رو که در طاقچه براتون محسوب نشده، برای ما بفرستید تا پیگیری کنیم.

اگر در کافه‌بازار، توکن ناموفق باشد:

 
خرید در حال انتظار کافه بازار:

خرید شما از کافه‌بازار با موفقیت انجام نشده. لطفاً یک بار برنامه رو ببندید و دوباره وارد بشید تا عملیات خرید کامل بشه."
خرید و پرداخت آنلاین,با مایکت پرداخت کرده‌ام ولی کتاب در «کتاب‌های من» قرار نگرفته,"خرید ناموفق در مایکت:
دوست عزیز، سلام.
خرید شما از مایکت ناموفق بوده. لطفاً در مایکت روی شکلک آدمک بالای صفحه بزنید و به قسمت «حساب کاربری > تراکنش‌ها» برید و زمان و توکن خریدهایی رو که در طاقچه براتون محسوب نشده، برای ما بفرستید تا پیگیری کنیم.
---
اگر در مایکت، توکن ناموفق باشد:
دوست عزیز، سلام.

توکنی رو که فرستادید، بررسی کردیم و درست نبود. از اونجایی که خریدتون ناموفق ثبت شده، ممکنه مبلغ به اعتبار کیف پولتون توی مایکت اضافه شده باشه. لطفاً اعتبارتون رو در برنامهٔ مایکت بررسی کنید و اگر مشکلی بود، بهمون بگید تا پیگیری کنیم. ممنون که صبورانه ما رو همراهی می‌کنید."
خرید و پرداخت آنلاین,خرید ناموفق از درگاه بانکی,"دوست عزیز، سلام.

خریدتون ناموفق بوده. اگه مبلغی از حسابتون کم شده، طی ۷۲ ساعت آینده، از طریق سیستم بانکی به حسابتون برمی‌گرده.

اگر بعد از ۷۲ ساعت برنگشته باشد:

سلام مجدد، دوست عزیز. فقط پیامک بانکی‌تون رو چک کردید یا گردش حساب هم گرفتید؟ از این جهت می‌پرسیم که اغلب دوستان وقتی گزارش چنین مشکلی رو می‌دن و ازشون می‌خوایم بیشتر بررسی کنن، می‌بینیم که پول به حسابشون برگشته ولی پیامک براشون نرفته. اگر گردش حساب گرفتید و مبلغ برنگشته، لطفاً شمارهٔ کارت بانکی‌ای رو که باهاش خرید کردید، بهمون بدید تا ما از سمت دریافتی‌های خودمون، مسئله رو بررسی کنیم. اگر مبلغ به حساب ما اومده باشه، مدارکی ازتون می‌گیریم و مبلغ رو بهتون برمی‌گردونیم. یه احتمال کم هم هست که مبلغ اصلاً به حساب طاقچه نیومده باشه. در اون صورت خدمتتون می‌گیم که از بانک پیگیری کنید. ممنونیم که به طاقچه اعتماد دارید و همراهی‌مون می‌کنید."
خرید و پرداخت آنلاین,مشکل خرید مبالغ زیر 10هزار تومن,"دوست عزیز، سلام.

این محدودیت به‌خاطر قوانین بانک صادرکنندهٔ کارت شما به‌وجود اومده. بعضی بانک‌ها (مثل پاسارگاد) حداقل تراکنش بانکی رو ۱۰,۰۰۰ تومان تعیین کرده‌ن.
برای حل مسئله، پیشنهاد می‌کنیم اول کیف پولتون رو توی طاقچه با مبلغی بیشتر از ۱۰,۰۰۰ تومان شارژ کنید، بعد کتاب موردنظرتون را با اعتبار کیف پولتون بخرید."
خرید و پرداخت آنلاین,"وقتی یکبار از صفحه پرداخت خارج شدم، اخطار می‌دهد که کدتخفیف استفاده شده است.","دوست عزیز، سلام.

۳۰ دقیقه بعد از تراکنش ناموفق یک خرید، اون خرید از حالت رزرو خارج می‌شه و می‌تونید دوباره از کد تخفیف استفاده کنید."
خرید و پرداخت آنلاین,طاقچه برای خرید چند کتاب «سبد خرید» ندارد؟,"دوست عزیز، سلام.

این امکان درحال‌حاضر وجود نداره. برای آسون‌تر و سریع‌ترشدن فرآیند خرید، می‌تونید کیف پولتون رو در طاقچه شارژ کنید و با اون، کتاب‌هایی رو که می‌خواید، تهیه کنید.
برای شارژ کیف پول طاقچه، به قسمت «حساب کاربری» برید. گزینه‌ٔ «افزایش اعتبار» رو انتخاب کنید. مبلغ موردنظرتون رو وارد کنید و دکمه‌ٔ «پرداخت» رو بزنید. بعد از پایان مراحل پرداخت، کیف پول شما شارژ می‌شه. برای خرید ارزی می‌تونید از درگاه paypal استفاده کنید."
خرید و پرداخت آنلاین,اتباع افغانی که کارت بانکی ندارند چطور میتوانند از طاقچه خرید کنند؟,"دوست عزیز، سلام.

شما می‌تونید مبلغ موردنظرتون رو به شماره‌حساب IR380170000000331488906000،6037-9917-4366-8018 به نام مهدی دهقانی محمدآبادی
 واریز کنید و بعد از اون رسید پرداختتون رو برامون بفرستید تا به همون میزان، کد افزایش اعتبار تقدیمتون کنیم. حداقل مبلغ افزایش اعتبار ۱۰۰ هزار تومانه."
خرید و پرداخت آنلاین,چرا قیمت کتاب ها به تومان و دلار با هم تفاوت دارد؟,"دوست عزیز، سلام.

این عدد بر مبنای «شاخص برابری قدرت خرید» بین کشورهای مختلف محاسبه شده. مثلاً اگه ۱۲۰ هزار تومن حدوداً ۵٪ حقوق پایه در ایران باشه، نرخ تبدیلش به قیمت ارزی این توازن رو حفظ می‌کنه. ما هم با ناشر داخلی بر اساس نرخ روز ایران تسویه‌حساب می‌کنیم."
خرید و پرداخت آنلاین,برای خرید به درگاه پرداخت منتقل نمیشم و مدام خطا میده,"دوست عزیز، سلام.

شما اپلیکیشن طاقچه رو از مایکت/بازار نصب کردید و خریدهاتون از درگاه این برنامه انجام میشه، برای رفع این مشکل لطفاً طاقچه رو از گوشی خودتون حذف کنید و اون رو از سایت طاقچه (با لینک زیر) بگیرید:
https://taaghche.com/download
بعد از نیم ساعت دوباره برای خرید اقدام کنید. امیدواریم مشکل حل شده باشه."
خرید و پرداخت آنلاین,چطوری کتاب مورد نظرم رو پیدا کنم؟,"دوست عزیز، سلام.

پایین صفحهٔ اپلیکیشن طاقچه، روی دکمهٔ «جست‌وجو» بزنید. توی صفحهٔ جست‌وجو، عنوان کتاب دلخواهتون (یا اسم نویسنده یا ناشرش) رو بنویسید. نتیجه به شما نمایش داده می‌شه."
خرید و پرداخت آنلاین,من کیف پولم رو به مبلغ 5 تومن شارژ کردم اما بعد از خرید مانده رو میزنه صفر,"دوست عزیز، سلام.

شما طاقچه رو از از بازار دانلود کردید. در این صورت، مابقی مبلغی که شارژ کردید، توی اعتبار کیف پولتون در برنامۀ بازار موجوده."
خرید و پرداخت آنلاین,مشکل خرید کتاب های مبلغ بالا از درگاه مایکت و بازار,"دوست عزیز، سلام.

لطفاً اپلیکیشن طاقچه رو حذف نصب کنید. بعد به سایت طاقچه برید و طاقچه رو «دریافت مستقیم» کنید تا مشکل برطرف بشه:
taaghche.com/download"
خرید و پرداخت آنلاین,کد رو وارد کردم اما در خریدم اعمال نشده,"دوست عزیز، سلام.

لازمه بعد از واردکردن کد تخفیف، کلید «ثبت» رو بزنید تا تخفیف در مبلغ خریدتون اعمال بشه. در این صورت، مبلغی که در درگاه پرداخت به شما نشون داده می‌شه، مبلغیه که بعد از کسر تخفیف باید بپردازید.


اگر قانع نشد و تصمیم گرفتیم مابه‌التفاوت را برگردانیم:

دوست عزیز، ناراحتی شما رو درک می‌کنیم. البته لازمه این توضیح رو بدیم که نداشتن یک ویژگی محصولی، جزو اشتباهات پلتفرم محسوب نمی‌شه و پلتفرم ملزم به جبران خسارت نیست. اما هدف نهایی ما جلب رضایت شما و ایجاد تجربهٔ خوب براتونه. بنابراین ما این استثنا رو برای شما دوست ارزشمند درنظر می‌گیریم و مابه‌التفاوت مبلغ رو به‌شکل یک کد اعتباری در پیام بعدی براتون می‌فرستیم.
امیدواریم بتونیم تجربهٔ شما رو در استفاده از طاقچه روزبه‌روز بهتر کنیم. این کار شدنی نیست، مگه با گرفتن پیشنهادها و بازخوردها از سمت شما دوستان عزیز.
از صبوری و همراهی‌تون ممنونیم."
خرید و پرداخت آنلاین,چرا خارج از ایران نمیتونم پرداخت ریالی داشته باشم؟,"دوست عزیز، سلام.

ممنونیم که مشکلتون رو با ما در میون گذاشتید. 
متأسفانه درحال حاضر نمی‌شه با آی‌پی‌های خارج از ایران پرداخت ریالی کرد؛ اما این محدودیت از سمت ما ایجاد نشده‌.
درواقع ما هیچ مانع و محدودیتی برای خرید ریالی از سراسر جهان نذاشتیم.
امیدواریم که این مشکل هرچه زودتر برطرف بشه تا بتونید کتاب‌ها رو با همون روشی که دوست دارید، دریافت کنید."
خرید و پرداخت آنلاین,رمز دوم ندارم و میخوام هزینه رو کارت به کارت کنم,"دوست عزیز، سلام.

در‌حال‌حاضر این امکان وجود نداره. پرداخت هزینۀ خرید کتاب در طاقچه از راه درگاه امن بانکی (شاپرک) یا کیف پول مایکت و کافه بازار انجام می‌شه."
خرید و پرداخت آنلاین,چگونه می‌توانم هزینه را به‌صورت ارزی پرداخت کنم؟,"دوست عزیز، سلام.

توی اپلیکیشن اندروید یا آی‌اواس طاقچه به حساب کاربری‌تون وارد شید. پایین صفحۀ اپلیکیشن، روی دکمۀ «حساب کاربری» بزنید. صفحۀ بازشده رو کمی پایین بیارید و روی «واحد قیمت» بزنید. «دلار» رو انتخاب کنید. با این تنظیمات، موقع خرید کتاب، می‌تونید هزینه رو از طریق PayPal به‌صورت ارزی بپردازید.
خوبه این رو هم خدمتتون بگیم که در‌حال‌حاضر امکان افزایش اعتبار ارزی وجود نداره.
از لینک زیر می‌تونید بررسی کنید که توی کدوم کشورها امکان خرید از طریق درگاه PayPal وجود داره:
https://www.paypal.com/en/webapps/mpp/country-worldwide"
خرید و پرداخت آنلاین,در پاسخ به اعتراض کاربران بخاطر دریافت کد ملی (نسخه کافه بازار),"دوست عزیز، سلام.

در طاقچه اطلاعاتی به‌جز شماره‌تلفن یا آدرس ایمیل (به انتخاب خودتون) ازتون گرفته نمی‌شه. شما طاقچه رو از کافه‌بازار دریافت کردید و به همین دلیل خریدها و پرداخت‌هاتون در طاقچه از درگاه کافه‌بازار و طبق مقررات کافه‌بازار صورت می‌گیره.
* طاقچه رو می‌تونید از جاهای متنوعی دانلود کنید: سایت طاقچه (دریافت مستقیم)، کافه‌بازار، مایکت.

برای کاربرانی که قانع نمی‌شوند:

دوست عزیز، سلام.

درخواست کد ملی از شماٰ به این دلیله که شما «پرداخت مستقیم» رو توی کافه‌بازار مجاز کردید و به کافه‌بازار اجازه دادید از حساب بانکی‌تون به‌صورت مستقیم برداشت کنه. این تنظیمات با تأیید خود شما توی کافه‌بازار صورت گرفته و به طاقچه مربوط نمی‌شه. برای اطلاعات بیشتر، می‌تونید مطلب زیر رو توی سایت کافه‌بازار بخونید:
https://help.cafebazaar.ir/categories/72/articles/467"
خرید و پرداخت آنلاین,چطور میتونم اعتبارم رو از بازار به کیف پول طاقچه انتقال بدم,"دوست عزیز، سلام.

توی اپلیکیشن طاقچه، قسمت حساب‌کاربری، دکمهٔ «افزایش اعتبار» رو بزنید. مبلغ موردنظرتون رو وارد کنید یا از بین مبالغ پیش‌فرض یکی رو انتخاب کنید. در مرحلهٔ بعد، گزینهٔ «کیف پول» رو انتخاب کنید تا بتونید اعتبارتون رو از کیف پول برنامه بازار به طاقچه انتقال بدید."
خرید و پرداخت آنلاین,مشاهده دسته بندی دلخواه در بخش جست‌وجو,"دوست عزیز، سلام.

اگه طاقچه‌تون به‌روزه، می‌تونید در بخش «جست‌وجو» عنوان کتاب موردنظرتون رو جست‌وجو کنید و وقتی نتایج به شما نشون داده شد، روی دسته‌بندی دلخواهتون بزنید (عنوان دسته‌بندی‌ها بالای صفحه داخل بیضی نوشته شده: کتاب متنی، کتاب صوتی، ناشر، بی‌نهایت و...). در این صورت، فقط کتاب‌هایی به شما نمایش داده می‌شه که مطابق جست‌وجوی شما توی دسته‌بندی موردنظرتون وجود دارن."
خرید و پرداخت آنلاین,در پاسخ به کاربرانی که افزایش اعتبارشون به کیف پول مایکت اضافه شده,"دوست عزیز، سلام.

شما برنامهٔ طاقچه رو از اپلیکیشن مایکت دریافت کردید و خریدهاتون هم از درگاه این اپلیکیشن انجام میشه. به همین دلیل ممکنه این مبلغ به اعتبار کیف پولتون توی اپلیکیشن مایکت اضافه شده باشه. لطفاً موجودی کیف پولتون در برنامهٔ مایکت رو بررسی کنید و اگه مشکلی وجود داشت، بهمون اطلاع بدید. حتماً پیگیری می‌کنیم."
خرید و پرداخت آنلاین,نحوه خرید با کیف پول بازار,"دوست عزیز، سلام.

ابتدا کتابی رو که می‌خواید بخرید، انتخاب کنید. گزینه‌ٔ «خرید» رو بزنید تا به صفحهٔ خرید منتقل بشید. در این مرحله می‌تونید «پرداخت از کیف پول بازار» رو انتخاب کنید. پرداخت به‌صورت خودکار انجام می‌شه و می‌تونید کتاب رو از قسمت «کتاب‌های من» دریافت و مطالعه کنید."
خرید و پرداخت آنلاین,زمانی که رکورد خریدی ندارن اما اصرار دارن از طاقچه خرید کردن,"دوست عزیز، سلام.

لطفاً تاریخ خرید، قیمت و عنوان انتشارات کتابی که خریداری کردید رو برامون بفرستید تا تاریخچهٔ‌ فروش کتاب رو بررسی کنیم.
"
خرید و پرداخت آنلاین,شارژ کیف پول در نسخه بازار و مایکت,"نحوه شارژ:
دوست عزیز، سلام.

برای شارژ کیف پول توی اپلیکیشن، ابتدا به قسمت «حساب کاربری» برید. گزینه‌ٔ «افزایش اعتبار» رو انتخاب کنید. مبلغ موردنظرتون رو وارد کنید یا از بین مبالغ پیش‌فرض یکی رو انتخاب کنید و دکمه‌ٔ «پرداخت» رو بزنید. بعد از تموم‌شدن مراحل پرداخت، کیف پول شما شارژ می‌شه. "
خرید و دریافت نسخه چاپی,آیا می‌توانم نسخه‌ٔ چاپی کتاب‌ها را هم داشته باشم؟,"دوست عزیز، سلام.
از اینکه با دغدغه‌مندی مارو همراهی ‌می‌کنید ممنونیم. امکان خرید نسخه چاپی کتاب‌ها از طاقچه در حال‌حاضر وجود نداره. شما می‌تونید نسخه صوتی و الکترونیکی(متنی) کتاب‌ها رو از طاقچه دریافت کنید."
دانلود و شنیدن,بعد از خرید و دانلود کتاب صوتی فایلها کجا ذخیره می‌شوند.,"اندروید:

دوست عزیز، سلام.

توی گوشی‌های اندرویدی فایل‌های کتاب صوتی معمولاً توی مسیر internal storage> android > data > ir.mservices.mybook > files ذخیره می‌شن. اما بعضی کتاب‌های صوتی «قابلیت انتقال» ندارن؛ یعنی فایل‌های کتاب صوتی به درخواست صاحب اثر (ناشر) رمزنگاری می‌شن و نمی‌تونید خارج از طاقچه بهشون دسترسی داشته باشید.
وب سایت:

دوست عزیز، سلام.

از مسیر زیر می‌تونید به فایل کتابتون دسترسی داشته باشید:
c:\ProgramData\Taaghche\Data"
